formation,holding,quantile,residualize,spread_mult,rebalance_every,tier,n_periods,avg_names,gross_sharpe,net_sharpe,gross_mean_bps,net_mean_bps,gross_ann_return,net_ann_return,avg_turnover,avg_cost_bps,mean_ic,net_max_drawdown,hit_rate
3,12,0.3,none,0.5,12,T2_mid,622,58.72990353697749,0.6140015638429711,-1.1759497850158351,6.778350434105848,-12.981338675358883,0.12370489542243172,-0.2369094308252996,1.4277232661217976,19.759689109464734,-0.029347274554698762,-0.5784694409318245,0.45980707395498394
3,12,0.3,none,0.5,12,T3_illiquid,622,58.51768488745981,1.6553373236057543,-0.8977661521830833,18.280608956240812,-9.917935187592787,0.3336211134513948,-0.18100231717356838,1.422996756728159,28.1985441438336,-0.054052997940791915,-0.5237704080803269,0.4678456591639871
3,24,0.1,demean,0.5,24,T1_liquid,311,19.05466237942122,0.060354793499739275,-0.3807550281119872,2.530177052592164,-15.955588039764574,0.023087865604903494,-0.14559474086285173,1.7123035592488969,18.485765092356733,-0.008119112059176443,-0.5347168875409642,0.4887459807073955
3,24,0.1,demean,0.5,24,T2_mid,311,18.9967845659164,0.7075697502113094,0.1072682707139035,28.90331225458218,4.3809656981821625,0.2637427243230624,0.039976311995912235,1.778610287533117,24.522346556400016,-0.029772311603811486,-0.6147688837693063,0.5530546623794212
3,24,0.1,demean,0.5,24,T3_illiquid,311,18.964630225080384,1.1627535076376498,0.3093638125396817,48.24059069440092,12.844115042730325,0.4401953900864084,0.11720254976491422,1.8017923841074965,35.3964756516706,-0.05653421590075332,-0.45922752548103574,0.5434083601286174
3,24,0.1,none,0.5,24,T1_liquid,311,19.05466237942122,0.060354793499739275,-0.3807550281119872,2.530177052592164,-15.955588039764574,0.023087865604903494,-0.14559474086285173,1.7123035592488969,18.485765092356733,-0.008119112059176443,-0.5347168875409642,0.4887459807073955
3,24,0.1,none,0.5,24,T2_mid,311,18.9967845659164,0.7075697502113094,0.1072682707139035,28.90331225458218,4.3809656981821625,0.2637427243230624,0.039976311995912235,1.778610287533117,24.522346556400016,-0.029772311603811486,-0.6147688837693063,0.5530546623794212
3,24,0.1,none,0.5,24,T3_illiquid,311,18.964630225080384,1.1627535076376498,0.3093638125396817,48.24059069440092,12.844115042730325,0.4401953900864084,0.11720254976491422,1.8017923841074965,35.3964756516706,-0.05653421590075332,-0.45922752548103574,0.5434083601286174
3,24,0.2,demean,0.5,24,T1_liquid,311,39.18327974276527,-0.5027184804850665,-1.1118614748544537,-13.90327523630418,-30.73815427304211,-0.12686738653127566,-0.28048565774150924,1.555928517580364,16.83487903673793,-0.008119112059176443,-0.6406845280150143,0.4887459807073955
3,24,0.2,demean,0.5,24,T2_mid,311,39.035369774919616,0.2991849164652932,-0.4972819261364026,8.40498157401219,-13.968596973083331,0.07669545686286124,-0.1274634473793854,1.6145016096973859,22.373578547095512,-0.029772311603811486,-0.5518903578091039,0.5144694533762058
3,24,0.2,demean,0.5,24,T3_illiquid,311,38.945337620578776,1.1164151512951326,-0.08851852914640726,29.745144239845864,-2.360069549044206,0.2714244411885935,-0.021535634635028375,1.630592186912415,32.10521378889007,-0.05653421590075332,-0.2976064077773892,0.4790996784565916
3,24,0.2,none,0.5,24,T1_liquid,311,39.18327974276527,-0.5027184804850665,-1.1118614748544537,-13.90327523630418,-30.73815427304211,-0.12686738653127566,-0.28048565774150924,1.555928517580364,16.83487903673793,-0.008119112059176443,-0.6406845280150143,0.4887459807073955
3,24,0.2,none,0.5,24,T2_mid,311,39.035369774919616,0.2991849164652932,-0.4972819261364026,8.40498157401219,-13.968596973083331,0.07669545686286124,-0.1274634473793854,1.6145016096973859,22.373578547095512,-0.029772311603811486,-0.5518903578091039,0.5144694533762058
3,24,0.2,none,0.5,24,T3_illiquid,311,38.945337620578776,1.1164151512951326,-0.08851852914640726,29.745144239845864,-2.360069549044206,0.2714244411885935,-0.021535634635028375,1.630592186912415,32.10521378889007,-0.05653421590075332,-0.2976064077773892,0.4790996784565916
